2013-10-21 01:08:25 ERR (3): 20131021010825_528  {code:0}  {message:}  {file:C:\wamp\www\tonghoptruyen\library\Core\Utils.php:152}
#0 C:\wamp\www\tonghoptruyen\application\models\Worker\Test.php(25): Core_Utils::test()
#1 C:\wamp\www\tonghoptruyen\console.php(55): Application_Model_Worker_Test->start()
#2 {main}


2013-10-21 01:18:10 INFO (6): 20131021011810_84  begin get comic

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Get comics in url http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat

2013-10-21 01:18:10 INFO (6): 20131021011810_84  getContent  http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat  begin  

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Count = 1

2013-10-21 01:18:39 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Megu-Miruku?id=7186","seo_name":"Megu Miruku","name":"Megu Miruku","source_id":"3","url":"megu-miruku","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:39 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:40 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Hiiragi-Shougakkou-Renai-Kurabu-----?id=8697","seo_name":"Hiiragi Shougakkou Renai Kurabu","name":"Hiiragi Shougakkou Renai Kurabu","source_id":"3","url":"hiiragi-shougakkou-renai-kurabu","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:40 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:41 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Saezuru-Tori-wa-Habatakanai?id=5788","seo_name":"Saezuru Tori wa Habatakanai","name":"Saezuru Tori wa Habatakanai","source_id":"3","url":"saezuru-tori-wa-habatakanai","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:41 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:42 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Crossed-Series---Benh-hoang-tuong?id=8193","seo_name":"Crossed Series - B\u1ec7nh hoang t\u01b0\u1edfng","name":"Crossed Series - B\u1ec7nh hoang t\u01b0\u1edfng","source_id":"3","url":"crossed-series-benh-hoang-tuong","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:43 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:44 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Futari-no-Maharaja?id=8086","seo_name":"Futari no Maharaja","name":"Futari no Maharaja","source_id":"3","url":"futari-no-maharaja","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:44 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:45 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Abnormal-Kei-Joshi-?id=7991","seo_name":"Abnormal-kei Joshi","name":"Abnormal-kei Joshi","source_id":"3","url":"abnormal-kei-joshi","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:45 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:46 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Ghost?id=8542","seo_name":"Ghost","name":"Ghost","source_id":"3","url":"ghost","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:46 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:47 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Delivery-Cinderella00?id=8452","seo_name":"Delivery Cinderella","name":"Delivery Cinderella","source_id":"3","url":"delivery-cinderella","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:47 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:48 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Kebukurohatsu-Zensekai-Yuki-?id=6257","seo_name":"Kebukurohatsu, Zensekai Yuki!","name":"Kebukurohatsu, Zensekai Yuki!","source_id":"3","url":"kebukurohatsu-zensekai-yuki","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:48 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:49 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Ubel-Blatt?id=2030","seo_name":"Ubel Blatt","name":"Ubel Blatt","source_id":"3","url":"ubel-blatt","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:50 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:51 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Eden--It-s-an-Endless-World-?id=8257","seo_name":"Eden - It's an Endless World!","name":"Eden - It's an Endless World!","source_id":"3","url":"eden-its-an-endless-world","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:51 INFO (6): 20131021011810_84  insert comic  end  1  

